time,ready_count,running_count,unfinished_count,burst_mean,burst_variance,remaining_mean,remaining_variance,wait_mean,wait_variance,max_wait_current,short_job_ratio,arrival_rate,best_combo,combo_class,core0_alg,core1_alg,core2_alg,core3_alg,score,score_avg_waiting_now,score_max_waiting_now,score_waiting_variance_now,score_avg_remaining_now,score_avg_response_started,score_completed_count,score_unfinished_count_end
0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4424778761061947,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,1.15,0.0,0.0,0.0,12.666666666666666,0.0,5,3
15,0,3,95,20.333333333333332,0.33333333333333337,12.666666666666666,37.33333333333333,0.0,0.0,0.0,0.3333333333333333,0.4380952380952381,SJF|SJF|SJF|HRRN,2,SJF,SJF,SJF,HRRN,5.948214285714285,3.125,7.0,8.696428571428571,13.375,4.0,3,8
30,2,4,92,15.166666666666666,16.566666666666666,9.833333333333334,43.76666666666666,4.166666666666667,6.966666666666667,7.0,0.3333333333333333,0.4387755102040816,HRRN|HRRN|SJF|HRRN,74,HRRN,HRRN,SJF,HRRN,10.516666666666664,7.111111111111111,15.0,21.11111111111111,11.333333333333334,6.666666666666667,6,9
45,4,4,86,16.5,49.714285714285715,12.625,81.98214285714286,8.0,16.0,15.0,0.5,0.430939226519337,HRRN|HRRN|HRRN|SJF,78,HRRN,HRRN,HRRN,SJF,13.44153846153846,9.153846153846153,20.0,23.307692307692303,12.461538461538462,10.8,5,13
60,9,4,81,15.846153846153847,67.64102564102565,12.461538461538462,56.10256410256409,9.153846153846153,23.30769230769231,20.0,0.5384615384615384,0.41975308641975306,HRRN|SJF|SJF|SRT,55,HRRN,SJF,SJF,SRT,22.693636363636365,16.272727272727273,26.0,59.41818181818182,13.727272727272727,12.4,6,11
75,8,3,75,14.818181818181818,68.76363636363635,13.727272727272727,93.21818181818182,16.272727272727273,59.418181818181836,26.0,0.45454545454545453,0.42953020134228187,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,33.89690126050421,12.352941176470589,32.0,123.24264705882354,16.41176470588235,21.428571428571427,6,17
90,12,4,69,18.75,39.666666666666664,16.5,44.4,13.125,120.65,32.0,0.4375,0.3897058823529412,SJF|SJF|SJF|HRRN,2,SJF,SJF,SJF,HRRN,32.597142857142856,17.857142857142858,34.0,104.02857142857142,14.904761904761905,15.0,4,21
105,16,4,65,17.4,44.56842105263158,15.0,61.578947368421055,18.75,91.88157894736842,34.0,0.45,0.371900826446281,SJF|SJF|HRRN|SJF,6,SJF,SJF,HRRN,SJF,52.306719367588926,23.08695652173913,49.0,200.53754940711462,16.0,14.0,5,23
120,18,4,60,17.818181818181817,23.965367965367967,15.909090909090908,58.658008658008654,24.136363636363637,183.55194805194807,49.0,0.4090909090909091,0.3584905660377358,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,76.55810276679843,29.304347826086957,56.0,319.0395256916996,16.73913043478261,41.5,5,23
135,19,3,55,18.363636363636363,29.956709956709958,16.772727272727273,48.08874458874458,30.636363636363637,291.48051948051943,56.0,0.4090909090909091,0.3626373626373626,SJF|HRRN|HRRN|HRRN,26,SJF,HRRN,HRRN,HRRN,99.1622134387352,36.08695652173913,66.0,441.4466403162056,16.26086956521739,37.8,4,23
150,19,4,51,18.434782608695652,24.62055335968379,16.26086956521739,42.201581027667984,36.08695652173913,441.4466403162056,66.0,0.4782608695652174,0.3835616438356164,SRT|SRT|HRRN|HRRN,44,SRT,SRT,HRRN,HRRN,118.47084586466164,45.6,81.0,538.8842105263158,17.15,21.857142857142858,7,20
165,15,4,44,18.842105263157894,15.807017543859647,17.789473684210527,28.842105263157887,48.0,447.22222222222223,81.0,0.42105263157894735,0.4098360655737705,HRRN|SRT|HRRN|HRRN,71,HRRN,SRT,HRRN,HRRN,178.5175438596491,51.526315789473685,95.0,889.0409356725145,17.57894736842105,40.666666666666664,5,19
180,14,4,39,19.22222222222222,19.712418300653592,18.0,29.41176470588235,54.388888888888886,776.4869281045751,95.0,0.5555555555555556,0.45652173913043476,SJF|HRRN|HRRN|SJF,24,SJF,HRRN,HRRN,SJF,240.80513833992094,50.34782608695652,110.0,1256.2371541501977,16.434782608695652,76.0,2,23
195,18,4,37,18.90909090909091,21.324675324675326,16.363636363636363,45.67099567099568,52.63636363636363,1189.861471861472,110.0,0.5,0.4838709677419355,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,255.0986413043478,46.708333333333336,113.0,1342.8242753623188,15.416666666666666,97.0,4,24
210,19,4,33,16.695652173913043,38.312252964426875,15.08695652173913,36.81027667984189,48.73913043478261,1300.3833992094862,113.0,0.5217391304347826,0.625,HRRN|SJF|HRRN|SJF,60,HRRN,SJF,HRRN,SJF,236.56568144499178,40.206896551724135,116.0,1253.3842364532018,13.862068965517242,58.666666666666664,3,29
225,22,4,30,15.807692307692308,39.761538461538464,14.423076923076923,46.41384615384615,44.84615384615385,1187.4153846153847,116.0,0.46153846153846156,4.0,SJF|HRRN|HRRN|HRRN,26,SJF,HRRN,HRRN,HRRN,195.570487483531,51.52173913043478,117.0,966.624505928854,14.91304347826087,46.833333333333336,7,23
240,20,3,23,16.217391304347824,30.08695652173914,14.91304347826087,39.26482213438736,51.52173913043478,966.6245059288536,117.0,0.4782608695652174,0.0,HRRN|HRRN|HRRN|HRRN,80,HRRN,HRRN,HRRN,HRRN,170.37254901960787,61.611111111111114,119.0,751.4281045751636,15.722222222222221,78.16666666666667,5,18
255,14,4,18,17.333333333333332,21.411764705882355,15.722222222222221,24.565359477124183,61.611111111111114,751.4281045751634,119.0,0.5555555555555556,0.0,HRRN|HRRN|HRRN|SJF,78,HRRN,HRRN,HRRN,SJF,121.08666666666666,68.26666666666667,116.0,417.06666666666666,14.866666666666667,72.66666666666667,3,15
270,11,4,15,17.333333333333332,22.809523809523814,14.866666666666667,42.69523809523809,68.26666666666667,417.06666666666666,116.0,0.5333333333333333,0.0,HRRN|HRRN|SRT|HRRN,77,HRRN,HRRN,SRT,HRRN,100.96000000000001,77.36363636363636,109.0,279.8545454545455,14.818181818181818,69.0,4,11
285,7,4,11,18.09090909090909,20.69090909090909,14.818181818181818,59.36363636363636,77.36363636363636,279.8545454545455,109.0,0.5454545454545454,0.0,SRT|HRRN|SJF|HRRN,47,SRT,HRRN,SJF,HRRN,130.52142857142857,91.57142857142857,124.0,422.2857142857142,14.714285714285714,71.0,4,7
300,3,4,7,19.857142857142858,21.476190476190478,14.714285714285714,106.90476190476193,91.57142857142857,422.2857142857142,124.0,0.42857142857142855,0.0,SJF|HRRN|SJF|HRRN,20,SJF,HRRN,SJF,HRRN,139.5916666666667,105.25,125.0,428.25,10.75,113.66666666666667,3,4
315,0,4,4,23.25,2.9166666666666665,10.75,24.916666666666668,105.25,428.25,125.0,0.5,0.0,SJF|SJF|SJF|SJF,0,SJF,SJF,SJF,SJF,-0.6,0.0,0.0,0.0,0.0,0.0,4,0
